"","GSM711910"
"7896736",3.7338
"7896738",1.8796
"7896740",1.87758
"7896742",5.15177
"7896744",4.97488
"7896746",6.39207
"7896748",7.53039
"7896750",1.97546
"7896752",5.56711
"7896754",6.36469
"7896756",3.13206
"7896759",6.25609
"7896761",4.71712
"7896779",4.61393
"7896798",4.78615
"7896817",4.18256
"7896822",4.63084
"7896859",4.12575
"7896861",2.24961
"7896863",4.1979
"7896865",4.471
"7896878",5.26277
"7896882",4.23053
"7896908",4.08852
"7896917",4.00085
"7896921",3.98223
"7896929",4.62878
"7896937",4.11237
"7896952",4.952
"7896961",5.03511
"7896983",3.34577
"7896985",5.00164
"7897006",5.17537
"7897026",3.47907
"7897034",4.56616
"7897044",4.48385
"7897066",4.62655
"7897068",6.18316
"7897076",2.9517
"7897078",6.64944
"7897089",4.37317
"7897119",5.07055
"7897128",3.99972
"7897132",4.26522
"7897154",4.03582
"7897172",6.88728
"7897179",4.07204
"7897196",3.89671
"7897210",4.48418
"7897227",3.22288
"7897236",4.7279
"7897257",3.06429
"7897263",4.23801
"7897277",3.79463
"7897280",3.50486
"7897286",5.23374
"7897288",5.43853
"7897293",4.86563
"7897295",3.47116
"7897305",4.00339
"7897322",5.73311
"7897329",4.61599
"7897339",4.22997
"7897368",3.13837
"7897370",7.71057
"7897378",6.46425
"7897404",8.04972
"7897416",3.46615
"7897422",3.31713
"7897424",2.9806
"7897426",2.84516
"7897439",3.93337
"7897441",5.42154
"7897449",6.41436
"7897460",6.01716
"7897469",4.03569
"7897482",4.78579
"7897509",3.65271
"7897520",4.1264
"7897522",5.80799
"7897527",6.41228
"7897559",2.98567
"7897561",6.45684
"7897620",7.9488
"7897632",3.37408
"7897648",4.95931
"7897661",5.89541
"7897663",7.53065
"7897675",3.86757
"7897683",1.52409
"7897685",5.44934
"7897691",3.40567
"7897714",4.22292
"7897728",5.28427
"7897737",4.89881
"7897745",5.39205
"7897753",4.20673
"7897774",5.66282
"7897801",6.22526
"7897803",5.60587
"7897824",6.70625
"7897849",5.20291
"7897860",4.37243
"7897877",6.24865
"7897890",6.80261
"7897953",3.61381
"7897955",2.6503
"7897960",2.95862
"7897964",2.11106
"7897966",2.56448
"7897974",3.24304
"7897978",2.23612
"7897987",2.06743
"7897991",4.24834
"7897995",1.87668
"7897997",2.46795
"7898002",3.09596
"7898007",2.63902
"7898012",2.70816
"7898020",2.99388
"7898026",3.03042
"7898030",3.19881
"7898034",2.99388
"7898040",2.54247
"7898048",3.00319
"7898052",3.51973
"7898057",5.90375
"7898070",5.13641
"7898084",4.08451
"7898102",3.88724
"7898112",4.69233
"7898115",4.68893
"7898124",3.17792
"7898161",6.70649
"7898167",4.47842
"7898176",3.95429
"7898184",4.34311
"7898192",5.98614
"7898209",5.30585
"7898211",5.64281
"7898227",6.54262
"7898249",4.48684
"7898256",4.26801
"7898263",4.87363
"7898276",8.21947
"7898278",7.43674
"7898294",2.08888
"7898296",3.01908
"7898300",3.63643
"7898314",4.0412
"7898328",6.21815
"7898337",6.12901
"7898350",2.81969
"7898353",3.13844
"7898355",2.40501
"7898357",3.59846
"7898371",3.44104
"7898373",2.53657
"7898375",8.92809
"7898377",4.06529
"7898405",2.49223
"7898407",2.70529
"7898411",8.92809
"7898413",3.54201
"7898431",3.10798
"7898448",4.82564
"7898466",3.01125
"7898483",5.04937
"7898516",3.46057
"7898521",4.09325
"7898533",4.43724
"7898535",1.88309
"7898537",3.69469
"7898549",5.08956
"7898556",4.48465
"7898568",2.59769
"7898570",5.95974
"7898572",1.93525
"7898574",7.37842
"7898582",5.30115
"7898585",6.8618
"7898594",4.38159
"7898602",6.14979
"7898607",4.97879
"7898609",4.64715
"7898616",3.58132
"7898623",3.78851
"7898627",3.25788
"7898653",5.70636
"7898655",4.80396
"7898663",5.69991
"7898673",4.6573
"7898675",1.71524
"7898677",5.05265
"7898679",4.00446
"7898693",4.67255
"7898707",4.33429
"7898713",5.70492
"7898721",2.4844
"7898723",4.50453
"7898725",6.87441
"7898732",3.52772
"7898734",2.72227
"7898736",4.37249
"7898739",6.07168
"7898750",4.80903
"7898773",3.55596
"7898793",4.75149
"7898799",5.80804
"7898805",5.43828
"7898809",4.68751
"7898833",6.5785
"7898854",2.39389
"7898856",4.47484
"7898858",3.306
"7898869",2.9076
"7898875",7.6066
"7898881",5.65069
"7898894",4.88012
"7898902",6.09196
"7898910",8.88476
"7898916",3.0579
"7898939",4.1221
"7898957",4.59237
"7898967",4.43987
"7898975",6.56678
"7898988",8.99909
"7898998",3.75629
"7899005",8.02248
"7899016",7.54613
"7899018",5.35163
"7899023",5.31977
"7899029",5.64757
"7899043",6.40082
"7899057",5.75128
"7899069",2.25029
"7899071",2.46682
"7899073",2.29099
"7899075",3.52636
"7899087",4.50784
"7899093",3.91471
"7899096",4.07963
"7899101",3.99881
"7899124",2.75153
"7899134",3.71356
"7899151",1.69617
"7899153",6.02558
"7899160",5.28582
"7899167",3.16777
"7899173",5.88963
"7899187",5.80333
"7899192",5.0142
"7899220",5.88771
"7899244",4.41495
"7899251",2.40489
"7899253",5.92436
"7899265",4.55352
"7899273",5.85083
"7899284",5.27369
"7899287",5.41408
"7899289",5.00243
"7899310",4.66679
"7899323",4.26386
"7899343",6.04528
"7899346",6.51398
"7899348",3.03563
"7899350",5.91085
"7899361",7.15906
"7899375",3.20273
"7899377",5.7255
"7899392",2.83255
"7899394",5.59736
"7899407",3.12652
"7899417",4.54627
"7899422",4.17221
"7899424",4.97697
"7899436",3.6484
"7899448",3.26407
"7899455",5.93478
"7899462",4.36473
"7899480",7.04612
"7899484",3.24225
"7899486",5.18651
"7899499",2.31164
"7899502",5.06879
"7899504",4.99261
"7899517",1.76837
"7899519",5.8571
"7899528",3.95165
"7899534",4.94493
"7899560",4.22425
"7899562",4.66376
"7899595",2.93624
"7899600",2.6544
"7899602",2.11906
"7899604",4.83666
"7899615",5.34102
"7899627",6.76424
"7899643",4.02676
"7899654",6.87764
"7899675",4.3797
"7899688",6.44437
"7899703",7.19414
"7899719",3.71921
"7899727",3.78568
"7899737",7.25076
"7899750",3.41022
"7899753",4.49141
"7899774",6.95778
"7899790",4.15453
"7899795",5.11422
"7899797",4.68038
"7899811",1.29823
"7899813",7.13615
"7899821",4.1209
"7899829",5.8907
"7899841",4.1104
"7899849",4.43981
"7899851",4.10427
"7899870",5.29346
"7899882",3.02545
"7899884",3.52306
"7899898",2.25802
"7899905",2.48016
"7899909",4.21364
"7899911",2.80501
"7899921",2.88307
"7899927",3.63234
"7899932",2.94335
"7899939",5.60912
"7899943",4.80818
"7899955",7.92451
"7899957",6.56158
"7899988",1.64371
"7899990",4.57197
"7900001",4.91007
"7900009",6.2483
"7900030",5.18458
"7900051",6.72635
"7900076",3.82145
"7900087",4.15634
"7900095",6.20193
"7900119",7.41766
"7900129",3.68126
"7900144",1.71198
"7900146",6.31189
"7900157",9.85556
"7900159",4.7505
"7900167",3.38152
"7900181",2.00678
"7900183",4.14949
"7900192",5.22052
"7900197",1.56545
"7900201",5.78917
"7900212",2.31098
"7900214",1.57652
"7900216",7.41959
"7900228",6.83599
"7900235",8.13269
"7900336",6.216
"7900340",4.46494
"7900350",2.84027
"7900352",4.17231
"7900354",5.39423
"7900365",4.39654
"7900382",8.66094
"7900395",7.66811
"7900405",2.11853
"7900407",1.68588
"7900409",2.58387
"7900413",6.87843
"7900426",6.89132
"7900438",4.13776
"7900446",3.63325
"7900454",4.57238
"7900461",3.6774
"7900468",6.05517
"7900488",2.61847
"7900490",2.64619
"7900492",3.30081
"7900508",3.08271
"7900510",6.50851
"7900531",6.19321
"7900538",4.57192
"7900540",3.54613
"7900546",5.66966
"7900555",3.26929
"7900576",4.967
"7900585",8.68251
"7900597",4.64769
"7900603",3.10453
"7900609",3.58397
"7900624",3.57603
"7900633",1.96793
"7900635",3.28855
"7900639",2.671
"7900652",2.05198
"7900654",3.50042
"7900658",5.53818
"7900683",4.04896
"7900699",3.84062
"7900710",4.35371
"7900792",5.322
"7900833",5.79684
"7900857",5.21946
"7900876",1.43322
"7900878",4.26796
