"","GSM711956"
"7896736",3.24338
"7896738",2.00736
"7896740",2.07457
"7896742",5.15106
"7896744",3.84525
"7896746",6.01174
"7896748",6.31393
"7896750",1.84662
"7896752",4.49718
"7896754",5.73337
"7896756",2.62813
"7896759",4.53752
"7896761",4.27495
"7896779",4.56423
"7896798",4.89389
"7896817",4.4418
"7896822",5.97159
"7896859",3.95821
"7896861",2.01167
"7896863",4.55353
"7896865",3.69384
"7896878",5.02292
"7896882",3.8752
"7896908",3.88998
"7896917",4.16116
"7896921",3.91223
"7896929",4.60045
"7896937",3.7518
"7896952",4.48134
"7896961",5.0702
"7896983",3.09206
"7896985",4.58559
"7897006",5.08727
"7897026",3.57745
"7897034",4.47124
"7897044",5.39587
"7897066",4.38408
"7897068",5.97958
"7897076",3.02789
"7897078",7.262
"7897089",4.6776
"7897119",6.07107
"7897128",3.85845
"7897132",4.49769
"7897154",4.84644
"7897172",7.74124
"7897179",3.99488
"7897196",3.71163
"7897210",4.40782
"7897227",2.86572
"7897236",4.86369
"7897257",4.37481
"7897263",5.52998
"7897277",3.63585
"7897280",3.58037
"7897286",4.53924
"7897288",5.16763
"7897293",4.55341
"7897295",3.33644
"7897305",4.27065
"7897322",5.20567
"7897329",4.03427
"7897339",4.87344
"7897368",3.03933
"7897370",8.28873
"7897378",6.8962
"7897404",8.2952
"7897416",3.44153
"7897422",3.09648
"7897424",2.7254
"7897426",2.70589
"7897439",3.46308
"7897441",5.25522
"7897449",5.04772
"7897460",5.266
"7897469",3.70572
"7897482",4.2196
"7897509",3.89469
"7897520",4.64702
"7897522",3.15701
"7897527",6.92067
"7897559",2.98763
"7897561",6.23908
"7897620",8.20748
"7897632",3.75306
"7897648",5.11369
"7897661",5.76081
"7897663",7.52885
"7897675",2.77054
"7897683",1.7137
"7897685",5.20593
"7897691",3.24435
"7897714",4.08401
"7897728",5.27929
"7897737",4.62007
"7897745",5.61863
"7897753",3.77939
"7897774",5.56379
"7897801",6.11113
"7897803",5.87217
"7897824",5.88824
"7897849",4.97332
"7897860",4.14916
"7897877",5.37911
"7897890",6.41317
"7897953",3.72236
"7897955",1.9997
"7897960",3.02749
"7897964",1.73783
"7897966",2.29728
"7897974",2.61522
"7897978",2.08758
"7897987",2.13124
"7897991",3.96994
"7897995",1.8058
"7897997",2.56641
"7898002",3.21477
"7898007",2.40347
"7898012",2.29832
"7898020",2.78911
"7898026",2.7392
"7898030",2.83361
"7898034",2.78911
"7898040",2.0975
"7898048",2.77079
"7898052",2.53113
"7898057",6.64097
"7898070",5.04356
"7898084",3.62204
"7898102",3.62857
"7898112",4.2601
"7898115",4.62154
"7898124",3.69642
"7898161",6.29103
"7898167",2.92531
"7898176",3.49435
"7898184",3.29312
"7898192",6.36781
"7898209",5.43025
"7898211",6.32733
"7898227",6.01165
"7898249",4.33959
"7898256",3.91481
"7898263",4.56097
"7898276",7.65294
"7898278",7.11144
"7898294",1.85213
"7898296",2.57695
"7898300",3.80239
"7898314",3.52618
"7898328",5.35691
"7898337",6.56981
"7898350",2.99398
"7898353",3.24508
"7898355",1.9672
"7898357",3.77494
"7898371",3.32815
"7898373",2.08804
"7898375",9.00662
"7898377",4.1214
"7898405",1.89948
"7898407",2.76431
"7898411",9.00662
"7898413",5.35518
"7898431",3.10283
"7898448",3.41737
"7898466",2.83302
"7898483",4.39592
"7898516",3.32744
"7898521",4.66376
"7898533",4.06697
"7898535",1.872
"7898537",3.503
"7898549",4.98494
"7898556",4.26122
"7898568",2.08722
"7898570",5.82976
"7898572",1.7049
"7898574",7.10739
"7898582",4.64195
"7898585",6.92459
"7898594",3.69611
"7898602",5.9135
"7898607",4.85652
"7898609",3.28613
"7898616",3.5765
"7898623",4.28797
"7898627",3.34573
"7898653",5.25646
"7898655",4.9702
"7898663",5.39527
"7898673",4.93376
"7898675",1.80371
"7898677",4.70639
"7898679",4.78837
"7898693",3.96889
"7898707",4.04295
"7898713",4.72927
"7898721",2.58953
"7898723",4.17441
"7898725",4.82066
"7898732",2.47407
"7898734",2.43196
"7898736",4.69158
"7898739",5.92856
"7898750",5.28418
"7898773",3.39678
"7898793",4.70165
"7898799",5.1529
"7898805",5.45514
"7898809",5.06217
"7898833",6.96897
"7898854",2.16665
"7898856",3.97962
"7898858",3.20473
"7898869",3.05497
"7898875",7.08516
"7898881",5.04142
"7898894",4.59811
"7898902",6.04632
"7898910",8.14375
"7898916",3.0706
"7898939",5.07166
"7898957",5.11426
"7898967",5.12941
"7898975",6.04263
"7898988",8.52448
"7898998",3.36228
"7899005",8.14989
"7899016",7.81944
"7899018",5.53636
"7899023",4.88559
"7899029",5.2274
"7899043",6.07962
"7899057",5.61244
"7899069",1.90708
"7899071",3.16191
"7899073",2.32416
"7899075",3.37315
"7899087",5.45105
"7899093",3.87123
"7899096",3.35328
"7899101",4.20434
"7899124",2.86241
"7899134",3.99715
"7899151",1.64397
"7899153",6.3111
"7899160",5.17354
"7899167",3.02233
"7899173",5.51337
"7899187",6.21234
"7899192",5.32625
"7899220",5.82189
"7899244",4.37871
"7899251",2.31149
"7899253",5.27985
"7899265",4.93715
"7899273",5.47217
"7899284",4.94472
"7899287",5.31956
"7899289",5.01379
"7899310",4.70234
"7899323",4.50404
"7899343",5.54025
"7899346",6.71117
"7899348",2.93859
"7899350",5.84389
"7899361",6.44677
"7899375",1.89032
"7899377",5.4163
"7899392",3.28018
"7899394",4.85229
"7899407",4.46911
"7899417",4.26793
"7899422",4.61356
"7899424",5.52321
"7899436",3.37574
"7899448",3.64549
"7899455",6.42649
"7899462",4.63623
"7899480",7.17928
"7899484",3.20098
"7899486",5.24417
"7899499",2.28159
"7899502",4.74652
"7899504",4.75652
"7899517",1.56117
"7899519",5.49317
"7899528",3.48476
"7899534",4.89087
"7899560",3.72507
"7899562",5.01238
"7899595",3.21073
"7899600",2.61127
"7899602",2.29995
"7899604",4.94123
"7899615",7.59321
"7899627",6.74185
"7899643",3.90168
"7899654",7.13594
"7899675",4.69291
"7899688",6.83084
"7899703",7.03988
"7899719",3.87361
"7899727",3.51623
"7899737",7.1126
"7899750",3.37313
"7899753",4.45639
"7899774",8.62116
"7899790",4.32114
"7899795",5.0037
"7899797",4.75204
"7899811",1.36736
"7899813",8.08056
"7899821",4.58559
"7899829",6.85736
"7899841",3.93869
"7899849",4.41465
"7899851",4.46569
"7899870",5.81813
"7899882",3.39477
"7899884",3.77561
"7899898",2.31617
"7899905",2.50016
"7899909",2.96016
"7899911",2.85839
"7899921",3.03251
"7899927",4.17971
"7899932",3.31117
"7899939",4.31057
"7899943",5.99972
"7899955",8.56677
"7899957",7.47278
"7899988",1.76543
"7899990",4.74678
"7900001",4.65894
"7900009",6.49414
"7900030",5.79631
"7900051",6.73548
"7900076",3.58016
"7900087",4.44302
"7900095",6.00972
"7900119",7.7879
"7900129",5.10406
"7900144",1.69981
"7900146",6.33326
"7900157",10.2253
"7900159",4.16733
"7900167",3.27955
"7900181",1.79532
"7900183",5.66713
"7900192",4.83874
"7900197",1.95728
"7900201",5.52659
"7900212",1.82446
"7900214",1.84024
"7900216",7.02356
"7900228",7.4076
"7900235",8.10582
"7900336",6.84478
"7900340",5.52593
"7900350",2.95887
"7900352",3.90651
"7900354",5.61037
"7900365",5.14389
"7900382",9.3094
"7900395",6.93286
"7900405",1.81589
"7900407",1.77387
"7900409",2.4351
"7900413",8.0101
"7900426",6.64041
"7900438",4.59736
"7900446",4.18255
"7900454",4.64691
"7900461",3.9272
"7900468",5.97799
"7900488",2.56559
"7900490",2.29904
"7900492",3.21166
"7900508",3.06708
"7900510",6.20866
"7900531",5.96773
"7900538",4.51318
"7900540",3.89625
"7900546",5.90674
"7900555",3.82395
"7900576",5.98017
"7900585",8.49323
"7900597",4.97805
"7900603",2.71057
"7900609",4.00573
"7900624",4.01185
"7900633",2.38611
"7900635",2.93926
"7900639",2.57722
"7900652",1.88193
"7900654",4.0168
"7900658",3.99964
"7900683",3.75483
"7900699",4.17417
"7900710",4.76304
"7900792",6.64487
"7900833",6.60731
"7900857",4.95013
"7900876",1.58939
"7900878",3.57062
"7900888",4.99479
"7900911",3.43917
"7900922",6.72236
"7900931",6.38313
"7900944",4.95292
"7900957",3.10013
"7900962",5.06128
"7900977",1.5021
"7900979",5.56859
"7900999",3.17653
"7901010",3.80372
"7901036",1.67881
"7901038",9.006
"7901046",5.88513
"7901048",7.99626
"7901050",4.44749
"7901052",3.45558
"7901054",5.84696
"7901071",1.86904
"7901073",5.5859
"7901087",3.3754
"7901091",5.27067
"7901102",3.75264
"7901110",6.15215
"7901123",5.82036
"7901135",4.33733
"7901140",6.2548
"7901175",8.7778
"7901187",4.25909
"7901192",3.74506
"7901212",6.06226
"7901219",5.92547
"7901227",2.36467
"7901229",3.81672
"7901247",4.47421
"7901253",2.71137
"7901256",3.39466
"7901272",3.74794
"7901287",2.6259
"7901293",3.23446
"7901299",8.30956
"7901309",4.97267
"7901311",3.23358
"7901314",3.78648
"7901316",2.92763
"7901334",1.42374
"7901336",5.86854
"7901338",2.16524
"7901340",2.47975
"7901342",3.36384
"7901357",4.67553
"7901359",1.38616
"7901361",1.29984
"7901363",3.04537
"7901374",1.61364
"7901376",5.35407
"7901383",1.53858
"7901385",6.8173
"7901416",1.90211
"7901418",7.57889
"7901426",4.00877
"7901443",4.66836
"7901445",4.53402
"7901447",6.4567
"7901460",6.15361
"7901466",3.09258
"7901477",3.42231
"7901479",6.20789
"7901495",1.88331
"7901497",2.76197
"7901513",6.70919
"7901535",5.52592
"7901549",4.69728
"7901557",4.23554
"7901563",1.9535
"7901565",3.1385
"7901577",5.71675
"7901592",3.98875
"7901601",6.50276
"7901611",2.83985
"7901613",4.35511
"7901634",4.47967
"7901662",5.62696
"7901675",3.19756
"7901687",4.97829
"7901691",3.21287
"7901696",4.00711
"7901710",1.44791
"7901712",1.68765
"7901714",3.2763
"7901720",6.46974
"7901732",2.68644
"7901744",3.09557
"7901746",6.05381
"7901748",6.09035
"7901765",4.01012
"7901788",5.91145
"7901802",3.09266
"7901804",6.93914
"7901852",4.78507
"7901854",2.38251
"7901856",4.81918
"7901858",4.04318
"7901860",2.02868
"7901867",5.20716
"7901883",1.97486
"7901895",4.81851
"7901911",2.64575
"7901913",2.97128
"7901915",5.36092
"7901931",4.09081
"7901948",1.81468
"7901951",6.88196
"7901967",5.85591
"7901969",5.94824
"7901982",1.90551
"7901993",4.91974
"7902023",6.29943
"7902036",5.40981
"7902038",4.48959
"7902043",3.14856
"7902072",1.72604
"7902074",5.72588
"7902102",1.72121
"7902104",4.63447
"7902127",6.09838
"7902158",4.09554
"7902166",6.57636
"7902189",2.85816
"7902203",2.63184
"7902205",3.17835
"7902223",2.79621
"7902225",1.32956
"7902227",6.20361
"7902235",2.32918
"7902265",4.40693
"7902267",3.94963
"7902269",8.36098
"7902282",3.18015
"7902290",3.95138
"7902306",1.94011
"7902308",6.05294
"7902317",3.44973
"7902345",6.10637
"7902353",2.99052
"7902365",1.82008
"7902367",6.72733
"7902382",6.50678
"7902396",4.21549
"7902398",9.02763
"7902400",4.67135
"7902402",2.11397
"7902425",2.82994
"7902435",5.49421
"7902439",2.06315
"7902441",4.26019
"7902448",6.85936
"7902452",2.59144
"7902472",3.38737
"7902474",2.72935
"7902476",6.51978
"7902493",4.23216
"7902495",4.819
"7902512",5.85568
"7902518",6.29116
"7902527",3.83173
"7902541",8.79564
"7902553",7.86337
"7902563",2.18278
"7902565",6.34657
"7902592",5.05204
"7902594",6.17716
"7902611",2.69144
"7902615",1.55913
"7902617",3.93475
"7902623",2.11602
"7902634",6.76385
"7902645",2.88392
"7902660",2.78081
"7902685",1.62829
"7902687",7.08701
"7902700",1.92268
"7902702",2.31731
"7902721",2.28727
"7902738",2.73441
"7902754",2.51646
"7902771",7.43896
"7902787",2.51549
"7902789",6.83932
"7902799",4.17654
"7902808",6.09081
"7902810",6.54883
"7902822",7.51751
"7902848",6.06594
"7902850",2.59433
"7902861",4.96335
"7902874",4.01377
"7902883",5.58615
"7902891",5.70313
"7902909",3.04999
"7902911",3.04714
"7902913",3.72906
"7902930",3.62635
"7902934",2.72447
"7902957",3.68172
"7902965",3.29439
"7902977",4.06509
"7902984",2.20192
"7902992",5.2563
"7903008",2.28159
"7903010",7.59935
"7903022",6.31949
"7903024",2.35062
"7903026",1.51762
"7903028",1.81353
"7903030",2.05059
"7903032",6.67328
"7903049",3.17801
"7903079",6.97363
"7903090",1.7307
"7903092",7.08565
"7903109",1.31735
"7903111",1.51329
"7903113",1.97169
"7903115",1.80292
"7903117",2.42611
"7903119",7.84606
"7903144",6.17751
"7903162",4.68447
"7903171",5.84288
"7903181",1.64775
"7903183",8.50342
"7903186",1.86196
"7903188",6.50292
"7903203",5.61136
"7903214",3.94004
"7903227",4.26059
"7903239",5.47892
"7903281",6.84204
"7903292",1.84854
"7903294",7.98129
"7903308",5.88167
"7903321",6.43348
"7903334",5.05464
"7903355",4.48421
"7903358",6.04822
"7903369",7.14014
"7903389",4.92073
"7903391",2.95797
"7903393",3.63607
"7903399",2.9469
